,id,marca,modello,titolo,desc
10,10,FERRARI,Mondial,FERRARI Mondial 3.4 t (PERMUTE) libro tagliandi,"Chilometraggio: 63800 
 Condizioni: usato 
 Immatricolazione: 07/1989 
 Tipologia: Cabrio 
 Carburante: Benzina 
 Tipo di cambio: Manuale 
  
  
  
 Valuto permuta.... 
 Auto molto bella .. E RARA munita di LIBRO TAGLIANDI e fatture eseguite in Ferrari.. l'ex proprietario un vero pignolo (distribuzione e molti lavori eseguiti  in officina Ferrari)  auto meravigliosamente  conservata .......... 
  
 ......valuto .PERMUTO con auto moderne o d'epoca .  
  
   RICEVO SU APPUNTMENTO. . . .  Contatto whatsapp 3357418934. si riceve su appuntamento ..Tutti i nostri veicoli sono visionabili, in ogni parte. E' gradita la presenza di un Vostro tecnico di fiducia.Le informazioni potrebbero contenere delle imprecisioni involontarie. L'inserzione non ha valore contrattuale, ma solo informativo . . . 
 Rivenditore AUTOGOLD SRL"
11,11,FERRARI,F355,FERRARI F355 F1 GTS,"Chilometraggio: 66000 
 Condizioni: usato 
 Immatricolazione: 09/1998 
 Tipologia: Cabrio 
 Carburante: Benzina 
 Tipo di cambio: Automatico 
  
 ABS, Airbag, Airbag Passeggero, Alzacristalli elettrici, Chiusura centralizzata, Climatizzatore, Controllo automatico clima, Interni in pelle, Servosterzo, Tettuccio apribile, Autoradio, Antifurto, Cerchi in lega 
  
 AUTOVETTURA PERFETTA  
  
 TENUTA IN MODO MANIACALE  
 DA VETRINA  
 TUTTI CERTIFICATI ASI  
 TAGLIANDI FERRARI 
  
 WE SPEAK ENGLISH  
 NOUS NOUS PARLONS FRANCAISE 
 NOSOTROS HABLAMOS ESPANOL 
  
  
 POSSIBILITA' DI FINANZIAMENTO PERSONALIZZATO E RITIRO VOSTRO USATO 
  
 LE NOSTRE VETTURE SONO TUTTE COPERTE DA 1 ANNO DI GARANZIA E VENGONO TAGLIANDATE E IGIENIZZATE COMPLETAMENTE PRIMA DELLA CONSEGNA 
  
 SIAMO VICINI ALL'AEREOPORTO DI LINATE,ALLA STAZIONE DEL TRENO DI VIGNATE E ALLA METROPOLITANA DI CASSINA DE' PECCHI  
  
 PREVIO APPUNTAMENTO SIAMO LIETI DI VENIRVI A PRENDERE SUL POSTO 
  
 NON RISPONDIAMO A RICHIESTE SENZA NUMERO DI TELEFONO.GRAZIE  
  
 La dotazione tecnica e gli optional potrebbero in alcuni casi differire 
 dall'effettivo equipaggiamento della vettura.  
 G.S.Auto s.r.l declina ogni responsabilita' per eventuali  
 involontarie incongruenze 
 Grazie 
  
  
 Contatti: 0249458321 , 3312829295 
 Rivenditore G.S. AUTO SRL"
12,12,FERRARI,208/308/328/GTO,FERRARI 208 turbo intercooler GTS,"Chilometraggio: 26000 
 Condizioni: usato 
 Immatricolazione: 07/1987 
 Tipologia: Cabrio 
 Carburante: Benzina 
 Tipo di cambio: Manuale 
  
 Tettuccio apribile 
  
  
 VETTURA UNICO PROPRIETARIO 
 TAGLIANDO APPENA EFFETTUATO €4.600 IN ROSSOCORSA MILANO 
 TUTTI TAGLIANDI CERTIFICATI 
 TENUTA IN MODO MANIACALE 
 SOLO PER VERI COLLEZIONISTI  
 TARGA ORIGINALE MI4F..... 
  
 WE SPEAK ENGLISH  
 NOUS NOUS PARLONS FRANCAISE 
 NOSOTROS HABLAMOS ESPANOL 
  
  
 POSSIBILITA' DI FINANZIAMENTO PERSONALIZZATO E RITIRO VOSTRO USATO 
  
 LE NOSTRE VETTURE SONO TUTTE COPERTE DA 1 ANNO DI GARANZIA E VENGONO TAGLIANDATE E IGIENIZZATE COMPLETAMENTE PRIMA DELLA CONSEGNA 
  
 SIAMO VICINI ALL'AEREOPORTO DI LINATE,ALLA STAZIONE DEL TRENO DI VIGNATE E ALLA METROPOLITANA DI CASSINA DE' PECCHI  
  
 PREVIO APPUNTAMENTO SIAMO LIETI DI VENIRVI A PRENDERE SUL POSTO 
  
 NON RISPONDIAMO A RICHIESTE SENZA NUMERO DI TELEFONO.GRAZIE  
  
 La dotazione tecnica e gli optional potrebbero in alcuni casi differire 
 dall'effettivo equipaggiamento della vettura.  
 G.S.Auto s.r.l declina ogni responsabilita' per eventuali  
 involontarie incongruenze 
 Grazie 
  
  
 Contatti: 0249458321 , 3312829295 
 Rivenditore G.S. AUTO SRL"
13,13,FERRARI,612,FERRARI 612 Scaglietti F1,"FERRARI 612 SCAGLIETTI F1   
     
   Autovettura nazionale Ufficiale Italiana, immatricolata il 22.09.2006, in ottime condizioni da vetrina, fatturabile in pronta consegna con Garanzia di conformità 12 mesi, completa di doppie chiavi, carpetta con service book, telo coprivettura e mantenitore di carica.   
     
   PRINCIPALI DOTAZIONI DI SERIE ED OPTIONAL:   
   Esterni BLU POZZI   
   Interni PELLE BEIGE   
   Tappeti BLU   
   SELLATURA SEDILI TIPO DAYTONA BEIGE   
   ZONA SUP. PLANCIA COLORATA BLU SCURO   
   ELEMENTI ZONA TUNNEL IN COLORE BLU SCURO   
   SPECCHI ELETTROCROMICI ESTERNI   
   SENSORI PARCHEGGIO ANT. E POST.   
   CERCHI RUOTA COMPONIBILI 19""   
   CAPPELLIERA IN PELLE BLU SCURO   
   VOLANTE IN COLORE BLU SCURO   
     
   Nota Bene: La descrizione, dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l'effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali. Ci scusiamo per l'inconveniente e vi invitiamo a verificare le caratteristiche dello specifico veicolo. Autosalone Cuman Srl declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale.   
     
   Contatti: 3277925454 , 042473593   
   Rivenditore AUTOSALONE CUMAN SRL"
14,14,FERRARI,Portofino,FERRARI Portofino - 2020,"Auto nuova. Full Full optional. 
 Fari adativi 
 Cuoio esteso 
 Completo Fibra di carbonio dentro/fuori 
 Cavallino sui sedili 
 Scarico sportivo 
 Scuderia Loghi 
 Cerchi da 20 diamond 
 etc...."
15,15,FERRARI,360,Ferrari 360,permuta Porsche 993 con ferrari 360
16,16,FERRARI,488,Ferrari 488 GTB,"Disponibile  
 Ferrari 488 GTB 
 Con 9800 km 
 Anno 2016 
 interni tabacco  
 Prezzo 174000 + iva"
17,17,FERRARI,Altro modello,Ferrari 512 TR,"AUTO IN OTTIME CONDIZIONI ESTETICHE E MECCANICHE, SEMPRE TAGLIANDATA CON CADENZA REGOLARE, 2 PRECEDENTI PROPRIETARI. COMPLETA DI TUTTO IL CORREDO D'ORIGINE (TROUSSE, SERVICE BOOK, CHIAVI DOPPE, BORSA ATTREZZI) E DI TUTTE LE FATTURE E FOTOGRAFIE DEI LAVORI ESEGUITI.  
  
  
 PER ULTERIORI INFORMAZIONI VISITATE IL NOSTRO SITO 
 sito 
  
 "
18,18,FERRARI,F355,Ferrari f355 - 1995,"Auto perfetta.Tenuta da vero amatore. Catena di distribuzione sostituita, frizione nuova. Fari xenon. Batteria nuova. Pneumatici nuovi. Satellitare. Impianto stereo con Navigatore.Iscritta ASI (paga metà bollo) 
 Visibile a Napoli presso officina di riferimento per qualsiasi approfondimento."
19,19,FERRARI,812,Ferrari 812 - 2018,"Auto completamente da rifare di carrozzeria,ma integra a livello meccanico a parte 2 braccetti delle sospensionie un cerchione storto.Il motore parte sempre problemi.Ottima opportunità di investimento per chi è del settore,in quanto la macchina vale più di 200000-250000 euro una volta sistemata."
20,20,FERRARI,599,Ferrari 599 gtb fiorano f1,"FERRARI 599 GTB FIORANO F1, anno 2007, km 40000, sessantesimo anniversario tagliandi ferrari, prima vernice, auto pari al nuovo."
21,21,MASERATI,Coupé,MASERATI Coupé Cambio Corsa (FERRARI 430),"MASERATI COUPE 4.2 V8 32V MOTORE FERRARI 430 
 AUTOVETTURA PERFETTA, IMMATRICOLATA NEL 2006 . 
 PNEUMATICI NUOVI PIRELLI P ZERO NERO; 
 FRENI COMPLETI DI DISCHI E PASTICCHE AVANTI E DIETRO; 
 BRACCI OSCILLANTI; 
 SCARICHI SPORTIVI ( COMPRESI ANCHE GLI SCARICHI ORIGINALI); 
 AUTOVETTURA SENZA GRAFFI, INTERNI IN PELLE IN OTTIME CONDIZIONI. 
 AUTOVETTURA DI PRESTIGIO, MOTORE FERRARI 430 . 
  
 PER ULTERIORI INFORMAZIONI E VISIONE DELL'AUTO SU APPUNTAMENTO CHIAMARE: 
 STEFANO AL 330888080 o AL 3929431004 . 
  
 POSSIBILITA' DI FINANZIAMENTO CON RATA PERSONALIZZATA."
22,22,FERRARI,Testarossa/512 TR,Ferrari Testarossa ASI,"FERRARI TESTAROSSA 1991 
  
  
 Link Motors Ragusa propone in vendita bellissima e prestigiosissima vettura del Cavallino Rampante; super-car di riferimento negli anni 80 e 90, famosa e prestigiosa a livello internazionale. 
 Vettura completamente originale al 100%, stato di conservazione pari al nuovo, nemmeno un graffio!!! 
 Comlpeta di tutti i suoi componenti tecnici ed estetici, incluso kit attrezzi originali, book service Ferrari con custodia in pelle, stikers e targhette metalliche varie. 
 Solo due proprietari dallacquisto, Certificata al registro storico ASI con CRS rilasciato nel 2017, gode di agevolazione fiscale del Bollo. 
 Carrozzeria in ottime condizioni, prima vernice 100% verificata con spessimetro digitale inferiore a 1/100. 
 Meccanica perfettamente originale, manutenzione documentata effettuata sempre e solo in Officina Ufficiale Ferrari. 
 Interni completamente originali, selleria in pelle color cuoio ottimamente conservata, strumentazione completamente funzionante. 
 Documenti in regola per il trasferimento di proprietà. 
 Possibilità di finanziamento personalizzato. 
 Possibilità di trasporto in Italia, Europa, Estero. 
 Disponibili altre info, foto e video a richiesta. 
 Possibilità di pagamento certificato tramite PayCar "
23,23,FERRARI,208/308/328/GTO,Ferrari 308 Gtbi Quattrovalvole TARGA ORO ASI,"VEICOLO VISIONABILE SOLO SU APPUNTAMENTO PRESSO: 
 Link Motors Cagliari  
 Via Libeccio, 16/18 - 09126 Cagliari 
 Ufficio: 070 373964  
 Cellulare: 351 0223254  
 Email: linkmotorscagliari@gmail.com  
 FERRARI 308 Gtbi Quattrovalvole 
 TARGA ORO ASI 
 Immatricolata anno 1985 
 Interamente originale, sempre conservata 
 PERFETTE condizioni generali 
 Carrozzeria senza un graffio 
 Interni in pelle color panna senza il minimo segno di usura 
 SOLO 37.300 km originali 
 Tagliando completo eseguito a Dicembre 2018 presso officina Ferrari 
 Appena cambiate tutte le cinghie, inserite nuove cinghie in nylon che non necessitano di manutenzione 
 Sostituiti pompa benzina, flussometro, candele ecc 
 Interventi certificati e visionabili in sede 
 Nessun lavoro da eseguire, pronta all'uso! 
 CHIAVI E LIBRETTO ORIGINALI 
 Tenuta maniacalmente, sempre in garage coperta 
 Con la vettura vengono ceduti: attrezzi, cric e telo originali Ferrari. 
 Possibilità di Finanziamento da 12-84 mesi  
 Possibilità di trasporti nazionali ed internazionali  
 Gestione Burocrazia e Passaggio di Proprietà  
 Assistenza Personale Link Motors  
 Foto in alta risoluzione sul sito Link Motors 
 NO SCAMBI 
   
  
 Assetto sportivo; Autoradio, Climatizzatore Manuale, Tagliandi certificati, Veicolo non fumatori 
  
 Tel: 070373964 - 3510223254."
24,24,FERRARI,360,FERRARI 360 Spider F1 3.6 V8 400cv ROSSO CORSA2001,"Marca: Ferrari  
  Modello: 360  
  Allestimento: Spider F1  
  Cilindrata: 3.6 V8  
  Cavalli: 400  
  Colore esterno: Rosso Corsa  
  Colore interno: nero pelle totale  
  Tipologia: Cabrio  
  Condizioni: perfette pari al NUOVO!  
   
  PREZZO IN PROMOZIONE: 63.990?(escluso permuta) finanziabile per intero o in parte, fino a 6 ANNI di garanzia FULL KASKO nel tuo finanziamento personalizzato!  
   
  PREZZO SENZA NESSUN OBBLIGO DI FINANZIAMENTO O ROTTAMAZIONE!  
   
  AUTO CON SOLI 59.000KM CERTIFICATI FERRARI ! TOTALMENTE TAGLIANDATA FERRARI CON FATTURE E LIBRETTO SERVICE DIMOSTRABILI ! ULTIMO TAGLIANDO COMPLETO DI DISTRIBUZIONE , POMPA ACQUA ECC.. ESEGUITO CIRCA 1.500KM FA CON RELATIVA FATTURA FERRARI! 
   
  OPTIONAL EXTRASERIE:  
  -CAPOTE CON APERTURA ELETTRICA  
  -CLIMATIZZATORE  
  -CERCHI IN LEGA  
  -CAMBIO F1 AL VOLANTE  
  -INTERNO IN PELLE NERA TOTALE 
 -LUCI DR LED 
 -SCARICHI SPORTIVI 
 -CERCHI IN LEGA R18 
 -PINZE DEI FRENI ROSSE 
 -SERVOSTERZO 
  -CHIUSURA CENTRALIZZATA 
  -RETROVISORI REGOLABILI ELETTRONICAMENTE  
  -SOSPENSIONI ATTIVE  
  -COLORE ROSSO CORSA  
   
  STRAZZANTI AUTO È LA TUA SCELTA VINCENTE  
  QUALITÀ DEL VEICOLO GARANTITA AL 100%  
  OLTRE 20 ANNI DI ESPERIENZA NEL SETTORE 
  
 Seguiteci nella nostra pagina FACEBOOK ""strazzanti auto"" 
   
  DESCRIZIONE: Nuovissima Ferrari 360 Spider F1 Rosso Corsa con soli 59.000km in condizioni pari al NUOVO! Anno 2001 Strazzanti auto srl in viale della pace 61 a barrafranca EN da ben vent'anni al vostro servizio per offrirvi la qualità e i migliori prezzi sul mercato i nostri recapiti telefonici: 3341107466, 3384341419, 3383636554"
25,25,FERRARI,F355,FERRARI F355 Gts   libro tagliandi,"Chilometraggio: 48000 
 Condizioni: usato 
 Immatricolazione: 05/1994 
 Tipologia: Cabrio 
 Carburante: Benzina 
 Tipo di cambio: Sequenziale 
  
 Tettuccio apribile, Servosterzo, Lettore CD, Interni in pelle, Immobilizzatore elettronico, Fendinebbia, Controllo automatico clima, Climatizzatore, Chiusura centralizzata, Cerchi in lega, Boardcomputer, Autoradio, Antifurto, Alzacristalli elettrici, Airbag Passeggero, Airbag, ABS 
  
 Auto italiana attualmente con targa estera  da ritargare  italiana  ( prezzo per targarla circa 1700 euro) 
  
 Presente libro tagliandi  
 No incidenti  
 Colore originale 
 Km reali  
 Rivenditore AUTOGOLD SRL"
26,26,FERRARI,456,Ferrari 456,"Ferrari 456 M GTA  
 Anno 2000, possibilità di farla d'epoca  
 SERVICE BOOK OFFICINE FERRARI 
 PERFETTA 
 COLORAZIONE STUPENDA 
 DISPONIBILE PER QUALSIASI PROVA 
 ACCETTO PERMUTE"
27,27,N/A,N/A,N/A,N/A
28,28,LANCIA,Thema,Lancia thema ferrari 8.32 - 1989,"LANCIA THEMA FERRARI 8.32 
 -ANNO 1989( 2"" serie) 
 -FULL OPTIONAL 
 -70000 KM ORIGINALI 
 -INTERNI IN PELLE FRAU 
 -SEDILI ELETTRICI RISCALDABILI 
 -CLIMA 
 -SOLO PER VERI APPASSIONATI 
 -TRATTATIVA IN SEDE 
 -SI GRADISCE IL CONTATTO TELEFONICO ( no email) 
 -DEL TORO AUTO,Corropoli (te). 
 Per info : 3494917936"
29,29,FERRARI,Altro modello,Ferrari 365 gt4 2+2,"DESCRIZIONE VEICOLO: 
 La 365 GT4 è stata costruita in soli 521 esemplari dal 1972 e il 1976. 
 La vettura da noi proposta nel 1973 e successivamente ritargata per cambio provincia Milano nel 1983. 
 Vettura iscritta al registro storico ASI. Disponibili libretto uso e manutenzione e manuale. 
  
 ATTENZIONE - IL PREZZO ESPOSTO NON TIENE CONTO DI EVENTUALE PERMUTA 
  
 CONDIZIONI DI VENDITA  
 Nella impossibilità di un continuo aggiornamento il prezzo pubblicato è da considerarsi indicativo  
 La Luzzago si riserva la facoltà di variarlo senza preavviso per ragioni di mercato e per migliorie apportate. Si invita a fare riferimento al listino ufficiale disponibile in sede. I dati descrittivi e la documentazione relativi alla vettura possono contenere errori o inesattezze. Pertanto quanto descritto non ha valore contrattuale ma è puramente indicativo. La Luzzago non risponde per la eventuale mancanza o difformità di parti o componenti rispetto alle caratteristiche originali di produzione ed omologazione. E'fatto onere all'acquirente di mettere in atto le verifiche necessarie.  
  
 Per ogni informazioni siamo a vostra disposizione al +39 030/2411531 o via mail all'indirizzo info@luzzago.com  
  
 SUGGERIMENTO  
 Abbiamo la possibilità di consegnare la vostra vettura direttamente a casa. Richiedeteci un preventivo gratuito (valido anche per esportazione in paesi EU e Extra EU)."
30,30,LANCIA,Thema,Lancia thema ferrari 8:32 catalitica,"Prodotta in 1150 esemplari. 
 Unico proprietario. Nessun passaggio di proprietà. 
  Immatricolata 1992. 
 Catalitica.  
  immatricolata ASI.  
 Colore Rosso Winner.  
 Interni in pelle a mano Frau e radica di noce. 
  Custodita in garage, solo 60.000 Km. 
 Interni ed esterni perfetti come nuovi. 
 Manutenzione del motore e meccanica perfetta, nei limiti di un lungo fermo.  
 Visionabile/ritirabile ad Ostia (Roma). 
 Vero gioiello per collezionisti!"
31,31,FERRARI,599,Ferrari 599 Gtb Fiorano F1,"Immatricolazione: 07/2007    
    Potenza: 456 kw ( 620 CV)    
    Chilometraggio: 35.500 km    
        
    Alimentazione: Benzina    
    Cilindrata: 5.999    
    Cilindri: 12    
    Trasmissione: Automatica F1    
    Trazione: Posteriore    
    EURO 4    
        
    Colore esterno: Nero daytona    
    Colore interno: Pelle totale nera cuciture rosse    
        
        
        
    GARANZIA 12 MESI    
        
        
        
    INFORMAZIONI:    
        
    VETTURA UNICO PROPRIETARIO    
    BOLLO E SUPERBOLLO APPENA PAGATI    
    TROUSSE COMPLETA CON CRONOLOGIA TAGLIANDI     
        
        
        
    ACCESSORI:    
        
        
    - Sensori di parcheggio anteriori e posteriori     
    - Freni carboceramica    
    - Pinze gialle    
    - Scudetti laterali    
    - Sedili sportivi carbonio    
    - Sedili elettrici    
    - Supporto lombare    
    - Pacchetto carbonio interno    
    - LED di cambiata    
    - Climatizzatore automatico    
    - Navigatore    
        
        
        
    Vettura visibile presso la nostra sede a Bussolengo (VR) Via del lavoro 74    
        
        
        
        
    NB: LE VETTURE PROPOSTE E PUBBLICATE SONO REALMENTE DISPONIBILI PRESSO LA NOSTRA SEDE CON GARANZIA DI AUTENTICITA' DELLE FOTOGRAFIE, PRENDIAMO PERTANTO LE DISTANZE DA CHI CON POCA CHIAREZZA PUBBLICIZZA PRODOTTI SENZA AVERNE IL POSSESSO (DESTABILIZZANDO LA CONCORRENZA E IL MERCATO STESSO), CERTI CHE QUESTO GARANTISCA E TUTELI LA NOSTRA CLIENTELA. WE SPEAK ENGLISH - WIR SPRECHEN ENGLISCH - NOUS PARLONS ANGLAIS.    
        
    ONDE EVITARE INCRESCIOSI DISGUIDI PREGHIAMO LA GENTILE CLIENTELA DI ASTENERSI NEL FARE OFFERTE NON ADEGUATE ALLE CIFRE DA NOI RICHIESTE E PROPOSTE SULLE INSERZIONI.    
    "
32,32,FERRARI,Testarossa/512 TR,Ferrari Testarossa / REALIZZO IMMEDIATO,"FORNISCO CELLULARE AI SOLI INTERESSATI gentilmente NO PERDITEMPO!!!!  
   
  Graditi commercianti d'epoca RAPIDI E VELOCI!!!!  
   
  AFFARE!!!!  
  Certificata con attestato valore stimato 113.000€  
  Ferrari testarossa monodado 1986/ 58.000km  
   
  79.900€ ???  
  Disponibili 30 foto  
  Ripeto NO PERDITEMPO"
33,33,FERRARI,F355,FERRARI F355 Spider,"Chilometraggio: 67578 
 Condizioni: usato 
 Immatricolazione: 04/1996 
 Tipologia: Cabrio 
 Carburante: Benzina 
 Tipo di cambio: Manuale 
  
  
  
 Auto appartenente ad un UNICO PROPRIETARIO, quindi usata dalla stessa persona per 21 anni, mai incidentata. Presenta ancora targa originale. 
 Interni e carrozzeria come nuovi come si può vedere anche dalle foto. 
 Ultimo tagliando ufficiale effettuato in Ferrari Service, Vicenza. 
 L'auto ha, ad oggi, 67.800 chilometri. 
 Al momento della consegna l'auto verrà tagliandata in rete ufficiale Ferrari con la sostituzione delle cinghie. 
 Eventualmente, se verrà consegnata senza il tagliando, verranno detratti i relativi costi. 
 Il motore gira perfettamente, la batteria è nuova, sono presenti tutti i libretti service originali, le doppie chiavi e tutti i codici radio. 
 L'abbinamento interni chiari, esterno scuro è favoloso. 
  
 Prezzo più basso in Italia e in quasi tutta Europa con questo colore! 
  
 Contatti: 0499403012 , 3485018013 
 Rivenditore SUPERCAR"
34,34,FERRARI,348,Ferrari 348 tb- 1990,"Rarissimo allestimento per il mercato Americano, iscritta ASI con allestimento approvato dal Club, bollo esente e assicurazione ridotta (immatricolazione sul libretto Italiano 1990), la macchina funziona perfettamente e tenuta da amatore, manutenzione eseguita da poco quindi non ha bisogno di nessun lavoro da fare, non risponderò ad offerte ridicole sapientoni e collezionisti di foto. Grazie"
35,35,FERRARI,412,Ferrari 412 1985 --A DISPOSIZIONE DELLA FAMIGLIA ,"veicolo disponibile presso la filiale link motors di Guidonia 
  
 linkmotorsguidonia@gmail.com 
 Gabriele  3297221514 
 Telefono0774524333 
 Cellulare-- 3791759102 
  
 LINK MOTORS GUIDONIA PROPONE VENDITA .. 
  
 FERRARI 412   1985   
  
 VETTURA CONSERVATA 
  
 A DISPOSIZIONE DELLA FAMIGLIA FERRARI,SOPRATUTTO ALL'ING. PIERO . 
  
 AUTO CON DOPPIA FRIZIONE PER AGEVOLARE LA GUIDA AD ENZO FERRARI . 
 IN ULTIMO USATA DA MONTEZEMOLO. 
  
 INTERNO IN PELLE CON TRE SFUMATURE DI AZZURRO  
  
 CAMBIO MANUALE  
   
 LINK MOTORS GUIDONIA SI OCCUPERA DI UN EVENTUALE SPEDIZIONE E DI TUTTE LE GESTIONI BUROCRATICHE "
